診療科,全国合計,愛知県,愛媛県,茨城県,岡山県,沖縄県,岩手県,岐阜県,宮崎県,宮城県,京都府,熊本県,群馬県,広島県,香川県,高知県,佐賀県,埼玉県,三重県,山形県,山口県,山梨県,滋賀県,鹿児島県,秋田県,新潟県,神奈川県,青森県,静岡県,石川県,千葉県,大阪府,大分県,長崎県,長野県,鳥取県,島根県,東京都,徳島県,栃木県,奈良県,富山県,福井県,福岡県,福島県,兵庫県,北海道,和歌山県
1. 内科,64143,3369,710,1272,1108,518,606,1140,570,1062,1490,1002,1069,1600,509,384,451,2834,989,620,795,448,746,951,588,1143,3937,596,1635,566,2373,5022,640,806,1058,328,546,8158,533,1061,800,515,398,2701,983,2804,1979,730
2. 呼吸器内科,7625,372,83,132,150,69,90,147,68,192,117,170,136,287,47,52,67,275,150,53,126,26,50,100,78,91,496,110,162,67,253,383,137,106,95,48,39,924,122,142,63,65,55,394,134,287,253,162
3. 循環器内科,12807,662,158,218,188,79,109,254,110,238,259,235,226,376,127,78,96,525,212,102,202,54,146,178,119,112,832,138,316,109,419,914,189,159,139,60,90,1567,140,258,132,106,79,629,209,660,394,205
4. 消化器内科（胃腸内科）,17731,910,218,317,288,130,157,309,176,336,415,353,303,555,153,99,162,753,320,176,242,86,185,256,167,232,1045,162,454,146,600,1261,214,251,238,113,122,1943,175,304,186,135,112,1002,313,866,513,278
5. 腎臓内科,2154,106,12,51,33,37,5,25,22,34,40,36,22,58,17,15,11,107,26,13,24,15,11,21,12,25,181,17,56,17,78,151,19,17,26,11,7,377,17,45,28,10,7,104,21,99,63,25
6. 脳神経内科,2613,106,16,45,37,13,44,36,18,54,72,55,46,78,25,15,13,113,41,31,39,11,19,40,8,49,194,27,67,28,81,188,21,21,38,32,28,368,21,37,32,27,9,108,34,132,58,38
7. 糖尿病内科（代謝内科）,4196,216,34,87,67,42,32,90,19,73,90,65,69,121,35,18,31,233,50,30,44,22,38,44,38,36,326,49,100,30,165,283,41,41,41,17,19,688,30,75,43,27,18,180,36,179,113,71
8. 血液内科,476,20,7,7,14,2,0,4,3,9,9,10,11,13,3,1,0,28,12,5,9,3,0,2,4,8,35,9,13,3,13,36,6,4,7,2,5,84,8,9,8,4,1,12,0,19,8,6
9. 皮膚科,12410,814,81,258,167,133,77,219,62,193,300,118,171,219,75,49,59,659,139,93,100,59,104,114,59,128,954,99,256,72,552,1071,73,103,131,45,45,2637,67,207,127,66,53,428,132,498,266,78
10. アレルギー科,7724,622,56,93,138,22,61,165,45,147,172,138,125,222,49,18,54,392,155,44,82,35,71,52,44,154,558,43,195,29,292,552,65,67,92,41,37,1232,40,138,82,44,49,303,84,322,211,92
11. リウマチ科,4390,283,55,57,82,32,40,91,57,63,109,85,64,99,58,25,31,186,88,39,66,38,46,78,25,47,255,34,118,32,145,403,47,41,65,25,19,442,29,68,47,26,37,249,62,244,120,38
12. 感染症内科,409,13,2,4,11,8,0,2,2,6,6,7,3,18,3,2,2,22,2,1,7,2,1,5,4,4,21,8,10,4,15,17,4,8,5,2,1,85,4,4,5,3,1,34,3,17,14,7
13. 小児科,18798,1714,139,378,363,172,94,541,113,279,403,250,325,355,117,76,141,973,255,116,181,135,248,203,122,262,1166,160,441,119,774,1327,139,177,313,118,147,2496,182,357,233,116,140,671,287,772,499,209
14. 精神科,7223,386,85,92,106,91,40,95,55,105,189,62,89,142,54,38,36,282,70,78,68,46,55,50,38,109,626,44,154,36,258,726,60,58,103,37,56,1368,48,72,72,40,27,282,108,348,189,50
15. 心療内科,5063,270,54,76,76,83,31,58,29,71,123,58,66,115,37,28,18,199,53,32,52,17,40,39,33,54,409,33,102,31,174,489,40,48,66,18,40,962,31,63,54,26,19,222,71,246,155,52
16. 外科,12405,702,175,299,194,106,134,260,135,186,305,203,198,353,109,55,103,537,224,130,184,78,152,215,112,129,643,110,353,93,496,1020,142,249,208,65,60,1177,130,216,170,82,94,548,182,634,287,168
17. 呼吸器外科,165,8,1,7,3,2,0,2,1,2,4,5,0,1,2,1,1,10,5,2,4,2,2,6,0,1,14,2,7,1,5,6,4,5,2,0,0,19,2,1,0,1,1,11,2,7,1,2
18. 心臓血管外科,444,17,9,11,5,3,3,7,6,12,4,6,6,11,4,4,1,26,10,7,5,1,3,7,4,4,33,2,11,4,16,20,7,9,6,0,1,69,6,3,6,3,2,26,11,14,12,7
19. 乳腺外科,852,66,4,20,9,7,5,9,7,15,22,7,13,22,4,3,5,46,13,6,11,3,3,8,6,11,58,8,22,2,46,66,5,15,9,0,3,147,5,15,5,4,3,32,8,43,22,9
20. 気管食道外科,390,34,6,7,4,2,2,7,7,9,6,14,2,9,4,2,6,13,5,5,8,1,3,8,1,7,39,1,10,2,9,15,12,8,3,3,0,38,4,8,4,8,3,33,4,5,7,2
21. 消化器外科（胃腸外科）,1131,29,20,23,20,9,2,7,18,4,21,27,24,22,9,1,8,70,20,6,23,6,4,29,3,8,58,8,56,21,56,45,23,41,14,4,4,133,3,34,8,9,9,74,7,73,15,23
22. 泌尿器科,3763,221,40,83,64,26,41,60,35,69,75,55,67,86,49,15,18,165,33,43,40,22,25,44,31,29,230,54,129,22,171,339,29,39,44,17,19,555,28,69,45,19,18,133,58,172,101,36
23. 肛門外科,2920,155,28,61,32,15,27,43,38,51,61,52,46,83,25,10,14,136,58,30,41,19,30,40,23,37,176,24,100,33,106,224,39,68,25,14,12,312,25,71,37,23,24,150,53,147,55,47
24. 脳神経外科,1804,86,26,46,28,14,36,33,14,23,21,24,28,47,22,9,11,102,17,20,35,14,10,27,14,33,133,16,61,14,62,141,11,20,25,6,8,210,10,11,22,13,8,96,29,78,63,27
