診療科,全国合計,愛知県,愛媛県,茨城県,岡山県,沖縄県,岩手県,岐阜県,宮崎県,宮城県,京都府,熊本県,群馬県,広島県,香川県,高知県,佐賀県,埼玉県,三重県,山形県,山口県,山梨県,滋賀県,鹿児島県,秋田県,新潟県,神奈川県,青森県,静岡県,石川県,千葉県,大阪府,大分県,長崎県,長野県,鳥取県,島根県,東京都,徳島県,栃木県,奈良県,富山県,福井県,福岡県,福島県,兵庫県,北海道,和歌山県
1. 内科,338 ,276 ,411 ,236 ,480 ,301 ,257 ,358 ,356 ,309 ,408 ,391 ,357 ,418 ,405 ,526 ,427 ,242 ,364 ,296 ,374 ,315 ,278 ,402 ,274 ,310 ,257 ,313 ,249 ,365 ,256 ,388 ,361 ,425 ,349 ,464 ,429 ,383 ,609 ,288 ,406 ,404 ,321 ,390 ,306 ,347 ,349 ,504 
2. 呼吸器内科,31 ,33 ,22 ,28 ,36 ,33 ,29 ,23 ,21 ,40 ,39 ,50 ,23 ,29 ,23 ,30 ,29 ,17 ,18 ,28 ,20 ,24 ,26 ,30 ,24 ,29 ,26 ,15 ,33 ,36 ,24 ,31 ,52 ,61 ,26 ,47 ,34 ,44 ,30 ,34 ,27 ,20 ,27 ,45 ,20 ,25 ,34 ,34 
3. 循環器内科,65 ,56 ,72 ,50 ,65 ,53 ,64 ,59 ,63 ,66 ,93 ,79 ,59 ,65 ,81 ,84 ,62 ,39 ,49 ,58 ,82 ,63 ,74 ,83 ,70 ,37 ,52 ,45 ,53 ,72 ,45 ,77 ,96 ,78 ,48 ,61 ,65 ,79 ,76 ,67 ,54 ,50 ,63 ,102 ,52 ,71 ,77 ,80 
4. 消化器内科（胃腸内科）,75 ,61 ,70 ,51 ,67 ,63 ,71 ,62 ,64 ,92 ,104 ,109 ,51 ,80 ,82 ,91 ,75 ,39 ,66 ,79 ,89 ,69 ,74 ,92 ,110 ,58 ,65 ,60 ,67 ,87 ,57 ,87 ,104 ,98 ,57 ,79 ,99 ,91 ,76 ,65 ,59 ,63 ,57 ,104 ,67 ,74 ,87 ,97 
5. 腎臓内科,22 ,26 ,9 ,23 ,23 ,23 ,7 ,14 ,21 ,21 ,28 ,32 ,20 ,17 ,16 ,10 ,23 ,16 ,13 ,14 ,13 ,19 ,21 ,18 ,13 ,24 ,26 ,4 ,19 ,26 ,12 ,21 ,27 ,32 ,19 ,16 ,13 ,39 ,17 ,24 ,10 ,18 ,20 ,34 ,14 ,18 ,11 ,29 
6. 脳神経内科,26 ,27 ,16 ,15 ,26 ,16 ,39 ,16 ,17 ,29 ,55 ,40 ,19 ,26 ,18 ,19 ,24 ,15 ,29 ,28 ,24 ,23 ,22 ,45 ,22 ,38 ,23 ,14 ,20 ,31 ,19 ,26 ,29 ,26 ,26 ,66 ,45 ,34 ,25 ,32 ,29 ,18 ,26 ,31 ,21 ,19 ,20 ,21 
7. 糖尿病内科（代謝内科）,24 ,24 ,19 ,19 ,31 ,23 ,16 ,21 ,17 ,22 ,44 ,40 ,16 ,18 ,23 ,20 ,19 ,13 ,12 ,18 ,18 ,24 ,26 ,22 ,26 ,16 ,22 ,27 ,17 ,34 ,16 ,29 ,35 ,25 ,20 ,26 ,28 ,38 ,25 ,26 ,13 ,23 ,17 ,35 ,15 ,21 ,16 ,28 
8. 血液内科,13 ,15 ,13 ,11 ,21 ,10 ,11 ,9 ,9 ,11 ,25 ,20 ,15 ,9 ,13 ,10 ,17 ,6 ,14 ,9 ,11 ,10 ,14 ,13 ,17 ,12 ,10 ,6 ,10 ,23 ,9 ,16 ,17 ,17 ,10 ,12 ,19 ,20 ,16 ,16 ,10 ,11 ,16 ,17 ,10 ,11 ,13 ,13 
9. 皮膚科,49 ,49 ,43 ,37 ,52 ,43 ,36 ,44 ,40 ,40 ,61 ,54 ,42 ,50 ,51 ,49 ,53 ,37 ,41 ,43 ,48 ,42 ,39 ,43 ,35 ,41 ,48 ,40 ,38 ,63 ,36 ,52 ,44 ,58 ,37 ,51 ,50 ,81 ,57 ,42 ,50 ,50 ,48 ,56 ,29 ,49 ,44 ,50 
10. アレルギー科,1 ,1 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,1 ,1 ,0 ,2 ,1 ,0 ,0 ,0 ,1 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,1 ,1 ,0 ,2 ,1 ,0 ,1 ,1 ,1 ,0 ,2 ,0 ,2 ,0 ,1 ,0 ,1 ,0 ,1 ,1 ,1 
11. リウマチ科,8 ,4 ,9 ,7 ,12 ,3 ,2 ,2 ,10 ,7 ,14 ,5 ,6 ,6 ,6 ,7 ,9 ,5 ,2 ,1 ,3 ,4 ,2 ,5 ,1 ,6 ,9 ,2 ,6 ,10 ,6 ,9 ,12 ,16 ,6 ,2 ,8 ,16 ,5 ,10 ,3 ,7 ,3 ,11 ,6 ,8 ,7 ,4 
12. 感染症内科,2 ,1 ,1 ,2 ,1 ,5 ,0 ,1 ,2 ,4 ,5 ,2 ,1 ,1 ,1 ,0 ,3 ,1 ,1 ,1 ,0 ,1 ,0 ,1 ,1 ,2 ,1 ,0 ,2 ,1 ,2 ,2 ,1 ,7 ,1 ,4 ,1 ,7 ,1 ,3 ,6 ,3 ,2 ,4 ,0 ,2 ,0 ,2 
13. 小児科,92 ,81 ,93 ,67 ,107 ,111 ,75 ,82 ,82 ,83 ,116 ,99 ,100 ,89 ,104 ,98 ,96 ,71 ,80 ,86 ,86 ,98 ,112 ,78 ,85 ,80 ,84 ,72 ,83 ,104 ,72 ,95 ,98 ,103 ,94 ,145 ,102 ,118 ,97 ,86 ,82 ,101 ,104 ,110 ,78 ,94 ,82 ,97 
14. 精神科,83 ,67 ,76 ,57 ,102 ,129 ,67 ,59 ,118 ,79 ,92 ,126 ,80 ,89 ,97 ,120 ,132 ,56 ,80 ,90 ,102 ,77 ,61 ,112 ,99 ,66 ,74 ,75 ,61 ,94 ,67 ,80 ,106 ,109 ,74 ,113 ,110 ,103 ,114 ,66 ,75 ,85 ,78 ,113 ,75 ,71 ,91 ,71 
15. 心療内科,5 ,3 ,10 ,3 ,5 ,10 ,4 ,4 ,4 ,6 ,6 ,4 ,3 ,4 ,8 ,5 ,2 ,2 ,3 ,4 ,2 ,3 ,2 ,9 ,4 ,3 ,3 ,2 ,3 ,5 ,3 ,6 ,6 ,5 ,4 ,6 ,2 ,8 ,9 ,3 ,4 ,3 ,4 ,11 ,4 ,6 ,5 ,3 
16. 外科,84 ,72 ,120 ,58 ,113 ,76 ,104 ,87 ,118 ,96 ,116 ,109 ,89 ,130 ,106 ,126 ,95 ,51 ,80 ,95 ,133 ,81 ,78 ,100 ,84 ,57 ,49 ,96 ,76 ,85 ,69 ,84 ,102 ,158 ,94 ,97 ,85 ,67 ,146 ,70 ,67 ,87 ,102 ,120 ,88 ,100 ,88 ,79 
17. 呼吸器外科,10 ,7 ,11 ,9 ,14 ,8 ,8 ,5 ,6 ,12 ,17 ,7 ,8 ,10 ,17 ,10 ,9 ,5 ,7 ,8 ,9 ,8 ,17 ,9 ,13 ,7 ,8 ,6 ,10 ,11 ,9 ,11 ,14 ,10 ,11 ,16 ,12 ,13 ,11 ,12 ,7 ,12 ,10 ,14 ,8 ,9 ,6 ,10 
18. 心臓血管外科,17 ,16 ,19 ,13 ,25 ,23 ,10 ,12 ,15 ,15 ,21 ,16 ,14 ,15 ,16 ,23 ,20 ,11 ,13 ,19 ,16 ,18 ,14 ,15 ,12 ,13 ,14 ,15 ,16 ,19 ,13 ,20 ,17 ,18 ,15 ,21 ,18 ,21 ,15 ,14 ,17 ,19 ,17 ,20 ,15 ,14 ,23 ,20 
19. 乳腺外科,9 ,8 ,10 ,8 ,13 ,10 ,6 ,6 ,7 ,9 ,15 ,9 ,10 ,9 ,7 ,8 ,5 ,6 ,6 ,6 ,5 ,8 ,7 ,9 ,7 ,5 ,8 ,6 ,6 ,7 ,8 ,12 ,7 ,9 ,9 ,8 ,11 ,15 ,7 ,8 ,7 ,4 ,6 ,10 ,5 ,9 ,7 ,12 
20. 気管食道外科,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,1 ,2 ,1 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
21. 消化器外科（胃腸外科）,28 ,21 ,29 ,28 ,32 ,20 ,13 ,13 ,31 ,29 ,38 ,30 ,25 ,24 ,32 ,28 ,37 ,20 ,21 ,12 ,25 ,29 ,16 ,29 ,22 ,21 ,26 ,19 ,27 ,40 ,25 ,33 ,43 ,28 ,21 ,45 ,17 ,41 ,22 ,34 ,29 ,20 ,41 ,28 ,13 ,30 ,18 ,42 
22. 泌尿器科,38 ,30 ,56 ,28 ,39 ,31 ,43 ,30 ,45 ,36 ,52 ,49 ,40 ,35 ,59 ,58 ,45 ,25 ,33 ,47 ,49 ,40 ,37 ,46 ,53 ,27 ,32 ,48 ,37 ,43 ,30 ,47 ,46 ,47 ,33 ,46 ,46 ,39 ,56 ,30 ,45 ,36 ,45 ,43 ,36 ,38 ,44 ,43 
23. 肛門外科,2 ,3 ,3 ,2 ,4 ,3 ,4 ,2 ,3 ,2 ,2 ,3 ,2 ,3 ,4 ,3 ,3 ,2 ,2 ,2 ,3 ,2 ,1 ,2 ,1 ,1 ,2 ,2 ,1 ,2 ,3 ,2 ,2 ,3 ,2 ,2 ,0 ,3 ,3 ,2 ,2 ,3 ,1 ,5 ,1 ,2 ,3 ,1 
