診療科,全国合計,愛知県,愛媛県,茨城県,岡山県,沖縄県,岩手県,岐阜県,宮崎県,宮城県,京都府,熊本県,群馬県,広島県,香川県,高知県,佐賀県,埼玉県,三重県,山形県,山口県,山梨県,滋賀県,鹿児島県,秋田県,新潟県,神奈川県,青森県,静岡県,石川県,千葉県,大阪府,大分県,長崎県,長野県,鳥取県,島根県,東京都,徳島県,栃木県,奈良県,富山県,福井県,福岡県,福島県,兵庫県,北海道,和歌山県
1. 内科,7300,283,122,158,141,80,84,85,117,115,157,168,113,211,78,111,84,298,88,58,126,47,53,196,56,115,303,86,148,80,251,470,125,133,108,37,41,564,105,95,72,98,61,407,120,308,468,76
2. 呼吸器内科,2777,118,36,76,53,37,28,37,34,42,72,87,44,71,33,52,45,115,28,16,44,21,27,64,24,25,130,24,46,29,112,149,69,62,47,13,17,217,35,36,29,23,29,159,48,117,128,29
3. 循環器内科,4016,160,66,93,83,39,39,56,51,55,102,109,64,102,47,75,45,180,47,24,68,28,34,98,30,36,180,35,67,46,144,252,83,76,67,18,25,301,46,54,35,39,38,235,70,183,244,47
4. 消化器内科（胃腸内科）,4011,169,63,94,72,36,38,56,55,55,103,112,61,106,47,79,55,159,43,22,66,27,35,119,29,42,172,34,62,37,142,266,86,76,65,16,22,281,60,56,34,37,36,232,72,193,244,45
5. 腎臓内科,1381,69,6,36,25,21,8,30,17,15,37,30,23,29,17,16,19,56,11,10,14,12,15,26,7,14,85,4,30,17,59,85,27,25,26,6,11,138,11,23,11,15,8,75,19,64,59,20
6. 脳神経内科,2755,129,25,69,45,27,39,34,25,42,90,76,37,73,25,24,28,118,41,22,53,27,33,74,29,59,158,33,58,27,118,148,37,33,51,30,31,211,23,54,31,27,30,144,39,111,93,24
7. 糖尿病内科（代謝内科）,1596,83,18,38,35,12,10,24,20,17,44,54,28,36,18,22,17,65,11,7,17,12,19,32,15,15,96,9,31,15,70,91,36,21,26,7,8,147,21,22,13,14,15,109,21,78,60,17
8. 血液内科,722,37,8,20,9,7,7,17,4,10,25,17,12,19,7,7,8,20,9,5,13,3,12,15,9,8,40,4,20,7,26,48,17,15,11,6,4,69,6,8,5,9,5,36,11,28,31,8
9. 皮膚科,3081,148,32,88,71,40,30,50,25,45,95,45,55,64,34,34,21,167,39,22,47,23,32,35,31,50,170,34,64,40,148,226,38,51,56,19,24,266,28,56,38,33,24,118,51,134,106,34
10. アレルギー科,445,28,2,11,11,2,9,6,5,6,15,14,14,8,8,4,4,21,3,2,10,1,0,3,2,4,26,4,6,4,27,30,9,5,14,4,2,32,3,17,1,2,6,19,10,13,15,3
11. リウマチ科,1384,74,19,33,26,15,11,21,22,15,44,39,31,40,27,22,19,55,14,3,23,6,8,35,1,16,64,8,32,15,46,86,29,24,26,7,4,108,20,20,6,7,13,90,27,64,55,14
12. 感染症内科,170,7,4,7,3,3,0,2,1,4,3,8,1,1,1,2,1,4,1,1,0,0,0,0,0,3,5,1,2,1,10,7,0,7,6,3,0,25,1,1,5,6,2,20,1,6,3,1
13. 小児科,2539,118,36,71,49,38,38,48,26,46,65,51,40,62,26,33,23,112,42,26,39,27,30,42,23,50,102,36,54,36,106,133,29,39,68,19,26,179,34,35,28,30,30,97,35,89,147,26
14. 精神科,2822,112,38,54,47,43,33,36,32,56,51,64,50,83,29,38,24,114,33,33,52,20,24,58,36,58,149,35,73,34,98,140,42,50,58,24,26,225,25,33,23,41,24,154,56,106,164,24
15. 心療内科,1134,40,23,24,21,22,9,18,17,18,27,28,14,30,21,22,15,35,10,15,11,3,11,38,8,18,38,11,22,7,38,62,33,34,29,7,8,61,20,13,7,19,6,85,32,41,53,10
16. 外科,4477,170,79,104,100,49,63,67,65,69,115,85,78,123,49,68,50,181,58,36,73,41,38,104,28,64,187,57,83,50,170,335,73,83,83,24,28,332,58,62,47,34,41,184,78,232,230,49
17. 呼吸器外科,1019,48,14,25,16,16,6,11,11,15,29,17,18,25,14,11,14,45,12,9,11,12,14,18,10,16,66,9,27,11,40,61,15,10,23,4,9,100,7,18,11,7,9,54,16,40,34,11
18. 心臓血管外科,1166,53,20,33,23,20,9,20,12,17,26,17,25,20,9,12,11,47,16,12,13,10,17,10,13,20,67,13,27,15,51,86,16,13,23,8,7,104,7,15,12,13,14,41,28,47,63,11
