疾患分類,全国合計,愛知県,愛媛県,茨城県,岡山県,沖縄県,岩手県,岐阜県,宮崎県,宮城県,京都府,熊本県,群馬県,広島県,香川県,高知県,佐賀県,埼玉県,三重県,山形県,山口県,山梨県,滋賀県,鹿児島県,秋田県,新潟県,神奈川県,青森県,静岡県,石川県,千葉県,大阪府,大分県,長崎県,長野県,鳥取県,島根県,東京都,徳島県,栃木県,奈良県,富山県,福井県,福岡県,福島県,兵庫県,北海道,和歌山県
Ⅰ,32.5,1.9,0.3,0.7,0.8,0.6,0.1,0.4,0.3,0.6,0.5,0.9,0.4,0.5,0.3,0.2,0.2,1.3,0.4,0.2,0.3,0.1,0.2,1,0.3,0.3,1.7,0.4,0.8,0.4,1.1,2.6,0.3,0.4,0.4,0.2,0.2,3,0.2,0.3,0.3,0.3,0.2,1.2,0.2,1.7,1.6,0.2
Ⅱ,253.4,12.4,3.4,5.2,4.4,2.2,2.8,4.1,2.8,5.4,5.1,4,3.1,6.1,2.1,1.8,1.9,12.6,3.1,2.4,4.2,1.5,2.4,4.6,2.9,4.5,14,3.4,6.8,2.6,10.2,17.8,2.8,3.4,4.1,1.5,1.9,20.8,2,3.8,1.9,2.4,1.8,13,4,12,14.7,2.4
Ⅲ,11.4,0.4,0.2,0.2,0.2,0,0,0.2,0.1,0.1,0.3,0.1,0.2,0.2,0.1,0.1,0.1,0.5,0.1,0.1,0.1,0,0.1,0.4,0.1,0.1,0.6,0.1,0.3,0.1,0.4,0.9,0.1,0,0.1,0,0.1,1,0.1,0.1,0.1,0,0,0.5,0.1,0.7,0.6,0.1
Ⅳ,60,2.8,0.9,1,1.2,0.6,0.7,0.6,0.7,0.8,1.3,1.2,1,1.5,0.6,0.7,0.6,2.4,0.8,0.4,1.1,0.3,0.8,1.4,0.6,1,2.6,0.6,1.2,0.6,2,4.8,0.8,1,0.7,0.2,0.5,4.3,0.6,0.8,0.6,0.6,0.4,3.7,0.9,2.8,3.6,0.6
Ⅴ,473.2,18.9,6.1,10.8,6.9,8.3,6.1,6.1,7.3,7.1,7.5,12.8,8.1,12.8,4.8,5,5.6,19.2,7.1,5,8.8,3.4,3.2,14,5,9.2,20.7,5.5,9.8,4.8,17.2,27.2,7.8,11.2,6.9,2.3,3.3,34.8,5.5,6.8,4,4.9,3,32.4,7.4,16.9,27.5,3.4
Ⅵ,125.8,4.1,1.2,1.8,2.7,1.7,1.3,1.3,2,2.4,3,4,1.5,3.2,1.2,1.8,2,5.1,1.4,1.2,2.7,0.8,1.4,3.6,1.7,2.6,5.3,1.7,2.5,1.2,3.4,6.8,1.9,2.7,1.9,0.8,1.1,8,1.3,1.4,1.3,1.5,0.9,8.7,1.6,5,10,0.7
Ⅶ,20.4,1,0.3,0.4,0.8,0.1,0.3,0.3,0.2,0.2,0.4,0.2,0.2,0.5,0.2,0,0.1,0.8,0.2,0.2,0.3,0.2,0.2,0.3,0.2,0.6,1.6,0.2,0.6,0.2,0.6,1.4,0.1,0.4,0.4,0.2,0.2,1.4,0,0.3,0.2,0.4,0.2,0.9,0.2,1.2,1,0.2
Ⅷ,4.8,0.2,0.1,0,0,0,0,0,0,0,0.1,0,0,0.2,0,0,0,0.1,0,0,0,0,0,0.1,0,0.1,0.4,0,0.1,0,0.1,0.4,0,0.1,0.1,0,0,0.3,0,0,0,0,0,0.2,0,0.2,0.2,0
Ⅸ,396.5,17.2,5.5,8,6.1,4.9,4.4,5.4,3.9,5.8,7.8,8,5.6,9,3.5,4.6,3.6,18.9,5.2,3.4,7,2.8,3.6,8.2,3.1,6.7,21.7,4.4,10.8,4.3,16.4,27.9,4.5,6.3,5.8,2,2.2,33.4,3.9,5.1,3.8,4.3,2.9,19.6,5.5,17.4,26.7,3.2
Ⅹ,149.9,6.5,2.1,3.7,2.8,1.8,1.4,2.4,1.4,2.1,2.9,3,2.4,3.3,1.4,1.6,1.2,6.8,1.9,1.3,2.5,1,1.2,3.2,1.1,2.8,7.6,1.1,3.3,1.6,5.8,11.5,2,2.5,2.6,1,1,11.1,1.4,1.7,1.8,1.6,1.4,7.5,2.1,8.1,8.2,1.2
ⅩⅠ,121,5.6,1.6,2.5,2.4,1.4,1.2,1.7,1.6,2.2,2.6,2.1,1.9,2.7,0.9,0.8,0.9,5.8,1.7,1.2,1.6,0.8,1.2,2.2,1.2,2.2,6.6,1.2,2.9,1.2,5.2,8.3,1.5,1.7,1.8,0.5,0.7,9.5,1,1.8,1.1,1.2,0.8,5.7,1.9,6.8,7.2,1
Ⅻ,12,0.6,0.2,0.3,0.2,0.2,0.2,0.2,0.1,0.2,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0.5,0.2,0.1,0.2,0.1,0.1,0.3,0.1,0.2,0.6,0.1,0.3,0.1,0.5,0.9,0.2,0.2,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.1,0.1,0.7,0.1,0.7,0.6,0.1
ⅩⅢ,148.6,5.8,2.6,2.6,2.5,1.9,1.4,1.3,1.7,2.4,3.5,3.6,2.2,3.9,1.5,2.1,1.1,5.9,1.6,1.3,2.3,1,1.3,3.2,1.3,1.8,6.9,1.3,3,1.6,5.1,11.9,2.2,2.7,2.5,0.6,1,11.5,1.3,1.6,1.6,1.2,0.9,9.8,1.8,7.9,9.4,1.3
ⅩⅣ,103,4.8,1.9,2.2,1.7,1.2,0.9,1.4,0.9,1.4,2,2.2,1.5,2.8,0.8,1.4,1,4.6,1.2,1.2,1.7,0.8,1.1,2.4,0.9,2.2,6,0.8,3,0.7,4.6,7.2,1.4,1.3,1.4,0.4,0.6,8.7,0.8,1.3,0.9,1.4,0.6,4.4,1.4,4.3,5.4,1.1
ⅩⅤ,29.1,1.6,0.2,0.6,0.6,0.6,0.3,0.4,0.2,0.4,0.5,0.8,0.4,0.8,0.3,0.1,0.2,1.3,0.4,0.2,0.4,0.1,0.4,0.8,0.2,0.3,1.5,0.2,1,0.3,1.3,1.7,0.4,0.4,0.6,0,0.2,3.3,0.1,0.4,0.4,0.2,0.2,1.5,0.4,0.8,1,0.2
ⅩⅥ,6.4,0.4,0.1,0.2,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.2,0.1,0,0.1,0.4,0.1,0,0.1,0.1,0.1,0.1,0,0.1,0.3,0,0.2,0,0.4,0.5,0.1,0.1,0.1,0,0,0.8,0,0.1,0,0,0,0.3,0.1,0.2,0.4,0
ⅩⅦ,5.6,0.2,0.1,0.2,0.1,0,0.1,0.1,0,0.1,0.1,0.1,0.2,0.1,0.1,0,0.1,0.3,0.1,0,0,0,0.1,0.1,0,0.1,0.3,0.1,0.1,0.1,0.3,0.3,0,0.1,0.1,0,0,0.5,0.1,0.1,0,0,0,0.3,0.1,0.1,0.3,0
