疾患分類,全国合計,愛知県,愛媛県,茨城県,岡山県,沖縄県,岩手県,岐阜県,宮崎県,宮城県,京都府,熊本県,群馬県,広島県,香川県,高知県,佐賀県,埼玉県,三重県,山形県,山口県,山梨県,滋賀県,鹿児島県,秋田県,新潟県,神奈川県,青森県,静岡県,石川県,千葉県,大阪府,大分県,長崎県,長野県,鳥取県,島根県,東京都,徳島県,栃木県,奈良県,富山県,福井県,福岡県,福島県,兵庫県,北海道,和歌山県
Ⅰ,260.9,15.6,3.2,6.2,3.6,2.6,4,5.3,2.7,3.5,4.6,3.9,2.7,5.6,2.8,1,1.7,9.1,4.5,2.7,2.6,1.5,2.8,5.4,1.8,5.9,16.4,2,5.9,2.1,13,16.8,2.3,2.2,2.6,1,0.9,29.7,1.9,3.1,3,1.4,1.4,12.1,3,15,13.5,2.2
Ⅱ,493.9,29.7,5.6,10.4,8.5,4.5,5.4,8.4,4.4,8.4,10.3,5.8,6.3,11,4.2,2.6,3.2,23.6,6.4,5.8,5.1,3.4,4.7,7.2,4.7,7.6,41.9,5.2,13.9,3.9,21.6,34.5,3.6,5.4,9.4,2.4,3.3,50.4,3.5,5.7,6.6,3.6,2.8,22,5.9,22.6,22.6,4.2
Ⅲ,36.3,3,0.6,0.8,1,0.3,0.5,0.8,0.2,0.4,0.6,0.3,0.4,1.3,0.3,0.2,0.4,1.6,0.5,0.5,0.6,0.4,0.6,0.5,0.4,0.8,1.6,0.2,1.4,0.3,1.2,2,0.4,0.4,0.6,0.3,0.2,2.7,0.2,0.6,0.5,0.2,0.3,1.7,0.5,1.7,1.6,0.3
Ⅳ,866.2,48.4,10.5,22.3,14,7,9.4,14.4,7.4,12.9,20.4,14.9,14.1,25.6,7.3,4.5,7.8,43.8,14.1,10,11.8,6.2,10.8,10.2,7.1,14.5,58.8,10,29.3,6.6,32.8,56.5,8.4,10.4,14.1,4,6.2,80.6,5,14.3,8.8,7.8,5.4,36.4,10.5,44.5,33.2,7.9
Ⅴ,533.2,28,4.3,7.1,7.6,6.8,5,7.6,7.8,10.2,14.3,7.3,8.8,14.3,6.9,2.8,4.7,18.9,7.2,5.1,6.4,3,5.8,6.8,3.4,8.1,42.4,5.7,12.8,3.2,16.6,35.4,3.8,6.2,10,2.7,4,67.9,4.5,4.9,4.4,3.9,2.8,31,7.6,24.7,25.1,3.8
Ⅵ,165.8,11.2,2,2.6,3.8,2.3,1.9,3.1,1.8,2.3,4,2.6,2.6,4.9,2,0.8,1.2,6.8,2.7,1.5,2.3,1.1,1.6,2,1.4,2.8,11.1,1.4,4.3,1.3,6.8,7.7,1.5,1.9,3.5,0.9,1,17.1,1.4,1.9,2,1.3,1,8,2.4,9,6.8,1.1
Ⅶ,597.8,37.3,7.6,14,9,5.9,6,11.9,4.8,10.8,10.4,6.7,6.5,12.2,5.6,2.4,4.7,38.1,10.8,6.2,8.9,3.3,6,7.5,5.6,11,46.6,8.4,20.3,4.8,25.9,35.9,3.8,8.8,7.2,2.8,4.6,50.2,2.8,10.3,7.4,5.8,4.7,19,8.8,36.3,19.2,7
Ⅷ,191,12,2.7,4,4.1,2,1.3,3.6,1.6,1.4,3.5,1.8,2,3.4,1.9,0.8,1.5,7.9,3.3,1.4,1.9,1.3,2.1,2.5,1,3.4,13.9,1.3,7,1.1,5.9,10,1,1.4,2.4,1,0.8,37,1.2,2.6,1.7,1.2,1.1,7.8,2.3,9.8,5,1.7
Ⅸ,1645.6,86.6,22,37.4,23.4,14.3,18.5,32,17.9,26,33.4,30.1,33.2,46.7,14.3,11.4,13.6,88,26.9,19.6,20.9,10.3,19.6,27.5,15.5,31.4,93.8,21.2,51.4,12.7,67.5,100.1,18.2,23.3,30.1,8.5,10.3,135.6,13.7,26.8,16.3,13.7,10.7,73.6,26,81.9,62.8,15.7
Ⅹ,936.2,59.9,9.2,20.1,15.3,10.2,9.8,16.3,10,11.3,16.1,13.1,16.3,19.5,8.1,4.1,7.6,57.5,11.5,8.2,7.6,4.1,9.6,13.9,5.4,14.1,76.4,8,32.7,6.4,32.4,41.8,7.3,9.8,12,3.3,4.9,147.2,5.5,14.8,7.8,6.5,6,41.6,12.4,37.4,27.7,6.7
ⅩⅠ,2541.7,194.1,25.8,48,44.8,19.1,22.2,47.1,19.8,51.6,35.5,41.7,36.8,65.2,23.9,11.1,18.2,147.3,37,24.9,26.8,15.1,21.4,33.1,14.2,31.5,198.7,20.7,64.2,17.9,113.7,162.5,16.8,27.4,29.8,11,11.3,322.1,17,28.4,21,18.4,14.4,114.1,25.3,113.4,88.7,19.2
Ⅻ,311.6,21.9,3.7,6.4,4.1,2.5,5,4.6,2.2,4.8,4.7,4.1,3.1,9,2.9,1.3,2,8.2,4.9,3,2.4,2,2.6,5.2,1.7,6.3,24,2.2,6.7,2.4,16.1,23.4,3.2,3.1,3,1.2,1.1,41.2,2,4.2,3.6,2.3,2.6,13.4,3.3,16,13,2.3
ⅩⅢ,1812,142.2,21.7,27.9,24,15.6,15.9,27.2,15.5,26.5,32.2,27.5,20.8,37.2,14.7,8.9,12.3,92.2,21.6,13.8,28.6,13.8,20.6,24.8,16.8,23.2,121.3,18.3,53.5,8.1,67.8,160.4,12.1,22.1,31.2,8.2,6.7,228.2,6.9,17.6,12.2,14,8.5,99.8,23.7,77.6,60.4,12.8
ⅩⅣ,608.6,36.2,8.2,15.2,8.9,6.2,4.6,9.1,4.4,11.7,11.2,8.2,7.6,8.2,4.1,3.8,6.7,25.8,10,5.1,8.5,4.5,6,9.7,5.8,10.5,79.4,8.7,20.3,4.4,27.8,39.2,7.1,3.9,7.6,1.7,4.8,49.2,2.4,9.7,7.8,3.6,2.6,19.2,9.7,22,25.1,7.2
ⅩⅤ,26,3.5,0.1,0.3,0.5,0.6,0.2,0.2,0.2,0.2,0.6,0.9,0.5,0.5,0.2,0.2,0,0.6,0.5,0.3,0.3,0.1,0.4,0.2,0.2,0.2,1,0.2,0.5,0.2,0.7,1.8,0.2,0.4,0.4,0.2,0.2,4.2,0,0.2,0.2,0.2,0,1.1,0.2,0.7,0.7,0.2
ⅩⅥ,3.3,0.4,0,0.1,0,0.1,0,0,0,0.1,0,0.1,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.4,0,0.1,0,0.1,0.3,0,0,0.1,0,0,0.2,0,0.1,0,0,0,0.1,0,0.1,0.1,0
ⅩⅦ,13.6,0.8,0.1,0.3,0.2,0.1,0.1,0.2,0.1,0.3,0.4,0.1,0.1,0.2,0.1,0.1,0.1,0.7,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.7,0.1,0.3,0.1,0.9,1.3,0.1,0.2,0.5,0.1,0.1,1.2,0.1,0.2,0.2,0.1,0.1,0.7,0.1,0.9,0.5,0.1
ⅩⅧ,74.5,3.8,1,1.7,1.7,1.3,0.7,1.1,0.6,1.1,1.2,1,1.1,1.4,0.8,0.3,0.5,4.8,1.3,0.6,0.8,0.5,1,0.8,0.5,1.1,4.6,0.7,2,0.6,3.2,5.3,0.7,0.5,1.2,0.3,0.5,8.5,0.5,1,0.9,0.5,0.4,3.1,0.9,3.9,2.8,0.7
ⅩⅨ,578,45.6,7.2,11.6,9.1,4.7,3.7,9.4,5.8,7.7,9.6,10,9,13,5.4,3.1,5.5,33.8,7.8,4.5,7.8,4.2,6.8,8.2,3.4,6.4,38.6,4.2,20,3.4,22.8,40.4,5.2,5.8,7.2,2.5,2.2,54.8,3.3,6.3,4.6,4,2.6,33,5.4,29.1,30,5.2
ⅩⅩⅡ,7.6,0.2,0,0,0,0.6,0,0,0,0,0,0,0.2,0.2,0,0,0,0.4,0,0,0,0,0,0,0,0,0.4,0,0,0,0.4,1,0,0,0.2,0,0,2.2,0,0.2,0.2,0.2,0,0,0,0.6,0.2,0
