疾患名,全国平均,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
Ⅰ,6509,6306,5062,5306,5384,6058,5665,4230,5887,6046,6136,5467,5551,7668,6037,5004,6789,8791,5893,7042,5571,6084,5829,6367,6458,6461,6919,8093,7986,6848,8053,6658,6712,6401,6417,6222,7208,7573,6560,6218,7288,8937,7473,6362,7103,6244,6431,7107
Ⅱ,44407,52534,48220,39947,44184,46443,42515,43072,38964,40629,40314,38206,41811,46592,42133,42710,46676,47434,45816,39255,40810,42691,41046,43493,41457,43987,47011,48335,45482,45773,44659,51741,46588,46117,49420,45918,42674,45292,45327,44278,48237,45567,47481,42986,46161,40525,48506,38108
Ⅲ,3498,3739,3228,3658,3305,3950,3669,3053,3398,3356,3633,3183,2952,3485,3120,3463,3622,4217,3872,2819,3960,3384,3113,3337,3466,3730,3795,3531,3633,4658,3887,2775,4303,3418,3524,3521,3392,3536,3482,3493,3306,3559,3692,2686,3776,3378,2825,3529
Ⅳ,26065,25598,24836,25733,25736,25183,26348,25469,24155,25047,24269,23204,23035,23719,23773,23156,24700,31676,25490,24196,25662,26278,24707,26639,25715,25862,26049,27620,27744,25303,26300,24663,27431,28160,27729,26407,30889,28919,27231,25765,27117,31694,25189,27594,28823,24546,26928,22786
Ⅴ,21934,25407,20000,22375,17488,21264,23083,20029,17085,17841,20580,16664,16497,18885,16264,18818,22042,21274,19844,19509,18260,17529,15665,17990,20802,14107,17214,19779,18232,18525,18238,21300,24609,19850,24410,26405,29971,24560,22034,27452,28195,32018,31697,29368,28064,26803,31882,30994
Ⅵ,17681,22775,16122,16491,15809,19307,16731,13777,13100,13547,13328,13925,12746,16198,14131,16786,16724,20487,15079,14043,14739,12539,14209,13660,14894,16196,19140,15880,16528,16120,15592,19256,19725,19359,17313,21790,20850,19549,15875,25102,21802,23484,22833,22490,23493,20530,25854,21084
Ⅶ,11111,9694,8351,9657,11523,10246,11521,10100,11775,10774,10367,11572,10757,12439,11672,9955,11404,11097,10039,11050,10379,10673,11524,12405,12039,11263,11900,12332,13310,11236,11840,9657,11599,11879,11177,11600,10641,11844,11803,10837,10817,11655,11942,10802,9280,11086,11390,11307
Ⅷ,1826,1935,1398,1416,1820,1693,1785,1447,1590,1822,1573,1551,1583,1851,1850,1836,1712,1571,1874,1578,1760,1809,1824,2084,1627,1842,1906,2048,2097,2033,2112,1937,1861,2075,2027,2038,2068,2813,1984,1997,1816,1939,1942,1689,1729,1630,1800,1450
Ⅸ,62647,71996,62544,57971,63142,55815,60048,61923,58542,58393,58968,60711,59934,60711,59454,49252,59640,60568,61963,57131,56740,62366,57188,61540,56640,60957,61122,67598,63077,59713,59554,59922,59139,61856,62728,63278,66927,60866,62801,76259,69414,72403,69756,68533,68022,65633,77972,73683
Ⅹ,22371,22264,19519,17740,19959,20146,20795,21052,20638,21470,22920,22108,20807,24093,22960,20338,20392,21721,22644,21212,19619,23118,21827,23881,22033,20823,23118,25763,22817,20912,22801,20170,22701,23379,23678,23804,22724,22174,22551,22016,26793,26473,23324,25535,26093,21991,23078,25473
ⅩⅠ,40805,42902,34114,37737,39511,42405,40029,35960,37938,40044,37719,39942,41118,43713,44446,36856,36129,36490,35350,36421,38326,42792,37728,44746,39593,39361,43381,51592,46813,43129,43812,37195,39614,45670,43531,42580,44205,46275,39588,38192,44691,42486,45140,43455,41700,37789,38945,36705
ⅩⅡ,7976,8866,6526,7300,7546,7767,7566,6391,7361,7666,7252,7888,7364,9690,8640,7449,8555,7973,8836,8147,6450,8069,7674,9211,7812,7926,8754,8831,9575,7950,7923,7074,7499,8043,8164,8454,7850,9487,7063,8032,8433,8806,8604,7258,7984,7734,7545,7874
ⅩⅢ,26456,29753,24082,20568,24219,24960,23034,22346,24026,23931,23584,23106,23856,27805,25898,21534,24148,26761,26173,28030,26250,23135,24603,24302,24298,23610,29311,29714,29517,26967,27464,23396,24927,25412,26196,27619,28918,30693,29800,33840,30646,28771,31420,28183,29874,27043,33085,26629
ⅩⅣ,21453,24015,19012,17264,21410,16533,18372,18467,20206,22254,22018,19959,21438,22709,21708,16502,19079,18689,19153,20278,17795,20311,23536,21892,19811,20453,22067,24368,21633,22026,24236,21700,22596,23052,22138,20904,22913,23161,22579,22825,23834,22586,22210,24838,24402,21526,24919,24916
ⅩⅤ,1977,1985,2059,2496,1592,2164,2546,1870,1652,1834,1399,1663,1459,1289,1507,1858,2046,1731,2417,1522,1703,1932,1526,1584,2023,1864,1599,1722,1728,1634,1795,2296,2659,1693,1703,2157,2311,2376,2143,2116,1621,2084,2265,2793,2062,2775,2710,2933
ⅩⅥ,1583,1799,1465,1310,1754,1751,1795,1373,1273,1729,1558,1335,1376,1624,1417,1202,1184,1140,998,1993,1590,1254,1541,1527,2099,1321,1329,1661,1792,1259,1729,1787,2085,1073,1507,2172,1761,1870,1678,2249,1354,1437,1569,1724,1668,1497,1949,1823
ⅩⅦ,1837,1995,1791,1865,1969,1749,1677,1498,1743,2145,1668,1545,1511,2342,1773,1678,1988,1993,1526,1569,2287,1500,1794,1901,1570,1398,1837,2134,1887,1562,1740,1709,2088,2403,1790,1427,2332,2006,2215,1759,2299,1626,1948,2022,1906,1540,1900,1752
ⅩⅧ,4515,4817,3729,3656,4172,4293,3727,4099,5300,5193,4576,5017,4770,5491,5053,3531,3651,4140,4009,4546,4481,3698,3862,3686,5360,3861,4541,5188,4908,4248,5144,4053,5229,4485,4474,6157,4759,5169,4971,4168,4799,3943,4053,4836,5104,3959,3860,5460
ⅩⅨ,20030,20152,14828,13292,15412,14571,15509,16055,15946,16126,18630,17565,17726,18697,17679,15049,17676,17887,18741,20553,16804,16948,18439,18522,18163,18686,21636,21416,22178,21844,23457,20643,19836,22614,22328,22193,21926,22064,21793,24926,27084,27616,25443,25597,25537,20198,26957,24489
ⅩⅩⅡ,6947,5929,4319,4938,5632,5713,6462,7655,5878,6241,7630,6907,6044,8304,6221,4233,5005,6410,6734,7839,5953,8523,6042,6913,7691,6852,7348,9643,7336,8719,7341,5056,5983,6771,5956,9197,7404,7019,6106,5782,7857,9677,7151,9018,8157,6666,9531,8724
