都道府県名,疾患合計,Ⅰ 感染症及び寄生虫症,Ⅱ 新生物＜腫瘍＞,Ⅲ 血液及び造血器の疾患並びに免疫機構の障害,Ⅳ 内分泌，栄養及び代謝疾患,Ⅴ 精神及び行動の障害,Ⅵ 神経系の疾患,Ⅶ 眼及び付属器の疾患,Ⅷ 耳及び乳様突起の疾患,Ⅸ 循環器系の疾患,Ⅹ 呼吸器系の疾患,ⅩⅠ消化器系の疾患,Ⅻ 皮膚及び皮下組織の疾患,ⅩⅢ 筋骨格系及び結合組織の疾患,ⅩⅣ 腎尿路生殖器系の疾患,ⅩⅤ 妊娠，分娩及び産じょく,ⅩⅥ 周産期に発生した病態,ⅩⅦ 先天奇形，変形及び染色体異常,ⅩⅧ 症状，徴候及び異常臨床所見・異常検査所見で他に分類されないもの,ⅩⅨ 損傷，中毒及びその他の外因の影響,ⅩⅩⅡ 特殊目的用コード
全国平均,351628,6509,44407,3498,26065,21934,17681,11111,1826,62647,22371,40805,7976,26456,21453,1977,1583,1837,4515,20030,6947
北海道,384459,6306,52534,3739,25598,25407,22775,9694,1935,71996,22264,42902,8866,29753,24015,1985,1799,1995,4817,20152,5929
青森県,321205,5062,48220,3228,24836,20000,16122,8351,1398,62544,19519,34114,6526,24082,19012,2059,1465,1791,3729,14828,4319
岩手県,310718,5306,39947,3658,25733,22375,16491,9657,1416,57971,17740,37737,7300,20568,17264,2496,1310,1865,3656,13292,4938
宮城県,331567,5384,44184,3305,25736,17488,15809,11523,1820,63142,19959,39511,7546,24219,21410,1592,1754,1969,4172,15412,5632
秋田県,332010,6058,46443,3950,25183,21264,19307,10246,1693,55815,20146,42405,7767,24960,16533,2164,1751,1749,4293,14571,5713
山形県,332876,5665,42515,3669,26348,23083,16731,11521,1785,60048,20795,40029,7566,23034,18372,2546,1795,1677,3727,15509,6462
福島県,319866,4230,43072,3053,25469,20029,13777,10100,1447,61923,21052,35960,6391,22346,18467,1870,1373,1498,4099,16055,7655
茨城県,316456,5887,38964,3398,24155,17085,13100,11775,1590,58542,20638,37938,7361,24026,20206,1652,1273,1743,5300,15946,5878
栃木県,326089,6046,40629,3356,25047,17841,13547,10774,1822,58393,21470,40044,7666,23931,22254,1834,1729,2145,5193,16126,6241
群馬県,328121,6136,40314,3633,24269,20580,13328,10367,1573,58968,22920,37719,7252,23584,22018,1399,1558,1668,4576,18630,7630
埼玉県,321515,5467,38206,3183,23204,16664,13925,11572,1551,60711,22108,39942,7888,23106,19959,1663,1335,1545,5017,17565,6907
千葉県,322335,5551,41811,2952,23035,16497,12746,10757,1583,59934,20807,41118,7364,23856,21438,1459,1376,1511,4770,17726,6044
東京都,357305,7668,46592,3485,23719,18885,16198,12439,1851,60711,24093,43713,9690,27805,22709,1289,1624,2342,5491,18697,8304
神奈川県,335734,6037,42133,3120,23773,16264,14131,11672,1850,59454,22960,44446,8640,25898,21708,1507,1417,1773,5053,17679,6221
新潟県,301208,5004,42710,3463,23156,18818,16786,9955,1836,49252,20338,36856,7449,21534,16502,1858,1202,1678,3531,15049,4233
富山県,333162,6789,46676,3622,24700,22042,16724,11404,1712,59640,20392,36129,8555,24148,19079,2046,1184,1988,3651,17676,5005
石川県,352050,8791,47434,4217,31676,21274,20487,11097,1571,60568,21721,36490,7973,26761,18689,1731,1140,1993,4140,17887,6410
福井県,336451,5893,45816,3872,25490,19844,15079,10039,1874,61963,22644,35350,8836,26173,19153,2417,998,1526,4009,18741,6734
山梨県,328731,7042,39255,2819,24196,19509,14043,11050,1578,57131,21212,36421,8147,28030,20278,1522,1993,1569,4546,20553,7839
長野県,319138,5571,40810,3960,25662,18260,14739,10379,1760,56740,19619,38326,6450,26250,17795,1703,1590,2287,4481,16804,5953
岐阜県,334632,6084,42691,3384,26278,17529,12539,10673,1809,62366,23118,42792,8069,23135,20311,1932,1254,1500,3698,16948,8523
静岡県,323678,5829,41046,3113,24707,15665,14209,11524,1824,57188,21827,37728,7674,24603,23536,1526,1541,1794,3862,18439,6042
愛知県,345682,6367,43493,3337,26639,17990,13660,12405,2084,61540,23881,44746,9211,24302,21892,1584,1527,1901,3686,18522,6913
三重県,333551,6458,41457,3466,25715,20802,14894,12039,1627,56640,22033,39593,7812,24298,19811,2023,2099,1570,5360,18163,7691
滋賀県,330562,6461,43987,3730,25862,14107,16196,11263,1842,60957,20823,39361,7926,23610,20453,1864,1321,1398,3861,18686,6852
京都府,359977,6919,47011,3795,26049,17214,19140,11900,1906,61122,23118,43381,8754,29311,22067,1599,1329,1837,4541,21636,7348
大阪府,387247,8093,48335,3531,27620,19779,15880,12332,2048,67598,25763,51592,8831,29714,24368,1722,1661,2134,5188,21416,9643
兵庫県,368274,7986,45482,3633,27744,18232,16528,13310,2097,63077,22817,46813,9575,29517,21633,1728,1792,1887,4908,22178,7336
奈良県,350459,6848,45773,4658,25303,18525,16120,11236,2033,59713,20912,43129,7950,26967,22026,1634,1259,1562,4248,21844,8719
和歌山県,357677,8053,44659,3887,26300,18238,15592,11840,2112,59554,22801,43812,7923,27464,24236,1795,1729,1740,5144,23457,7341
鳥取県,342988,6658,51741,2775,24663,21300,19256,9657,1937,59922,20170,37195,7074,23396,21700,2296,1787,1709,4053,20643,5056
島根県,357183,6712,46588,4303,27431,24609,19725,11599,1861,59139,22701,39614,7499,24927,22596,2659,2085,2088,5229,19836,5983
岡山県,363712,6401,46117,3418,28160,19850,19359,11879,2075,61856,23379,45670,8043,25412,23052,1693,1073,2403,4485,22614,6771
広島県,366211,6417,49420,3524,27729,24410,17313,11177,2027,62728,23678,43531,8164,26196,22138,1703,1507,1790,4474,22328,5956
山口県,373844,6222,45918,3521,26407,26405,21790,11600,2038,63278,23804,42580,8454,27619,20904,2157,2172,1427,6157,22193,9197
徳島県,381723,7208,42674,3392,30889,29971,20850,10641,2068,66927,22724,44205,7850,28918,22913,2311,1761,2332,4759,21926,7404
香川県,377247,7573,45292,3536,28919,24560,19549,11844,2813,60866,22174,46275,9487,30693,23161,2376,1870,2006,5169,22064,7019
愛媛県,357584,6560,45327,3482,27231,22034,15875,11803,1984,62801,22551,39588,7063,29800,22579,2143,1678,2215,4971,21793,6106
高知県,387308,6218,44278,3493,25765,27452,25102,10837,1997,76259,22016,38192,8032,33840,22825,2116,2249,1759,4168,24926,5782
福岡県,397403,7288,48237,3306,27117,28195,21802,10817,1816,69414,26793,44691,8433,30646,23834,1621,1354,2299,4799,27084,7857
佐賀県,406761,8937,45567,3559,31694,32018,23484,11655,1939,72403,26473,42486,8806,28771,22586,2084,1437,1626,3943,27616,9677
長崎県,395130,7473,47481,3692,25189,31697,22833,11942,1942,69756,23324,45140,8604,31420,22210,2265,1569,1948,4053,25443,7151
熊本県,387769,6362,42986,2686,27594,29368,22490,10802,1689,68533,25535,43455,7258,28183,24838,2793,1724,2022,4836,25597,9018
大分県,390939,7103,46161,3776,28823,28064,23493,9280,1729,68022,26093,41700,7984,29874,24402,2062,1668,1906,5104,25537,8157
宮崎県,353092,6244,40525,3378,24546,26803,20530,11086,1630,65633,21991,37789,7734,27043,21526,2775,1497,1540,3959,20198,6666
