疾患名,全国平均,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
Ⅰ,6840,6872,5406,5814,6056,5788,6026,4341,6485,6566,6272,6146,6154,8200,6655,5592,7058,9367,6351,7797,6005,6070,6114,6086,6308,7026,7061,8356,8035,7640,7823,6796,6775,7174,6765,7107,7704,7817,6984,5694,7474,9152,8304,6783,7136,6651,6889,6827
Ⅱ,63169,74901,71122,57996,62977,66961,62064,62817,57181,56984,56750,57041,58577,63418,59707,63296,68223,67143,67115,55813,55155,61257,57771,61477,59162,63611,66337,68620,64095,63177,61951,73071,68871,64316,69222,67349,61123,63153,65371,60833,68120,66469,65732,59374,64395,59765,65644,53455
Ⅲ,3820,4041,3825,5105,4261,4892,4371,4142,3811,4090,3529,3730,3438,3459,3474,3810,4857,4518,3712,2274,3579,3380,3137,3555,4017,4461,4328,4109,3973,2907,3368,2093,4088,3120,4076,4586,4145,4277,3451,2877,3493,4450,4426,2705,4728,3758,3092,4016
Ⅳ,31499,29370,30481,32143,33041,30911,32114,31932,28379,30806,29695,28360,28298,27710,29355,30896,29315,38517,33472,29945,32038,33026,30807,31241,31933,31171,29912,31814,32897,29211,30352,29753,33838,35520,31342,32516,34655,35906,31932,29290,31422,37655,29245,34704,34403,30068,32004,27080
Ⅴ,42784,38423,31287,50008,33896,45500,48794,41368,29465,35015,42162,28001,30250,27619,29546,41270,50943,48462,42396,37356,39334,38531,32022,30195,45801,27691,28960,29726,33453,33899,32419,43515,59805,40476,47344,62166,64073,54074,44031,45801,45123,68742,57253,54470,58968,50991,62987,47241
Ⅵ,22701,25072,18815,25019,20666,24939,21501,17402,13732,17265,16662,15887,15064,17815,16816,24840,23932,31283,21270,17819,20698,16564,17812,14730,21262,24115,22151,18077,21485,19952,20087,25385,32297,27049,22393,30008,27708,26678,19798,28850,22299,31146,27889,29661,30228,26292,32583,23973
Ⅶ,13151,11648,10274,11565,13939,12142,13745,12180,13921,12895,12108,13655,12576,14194,13683,11912,13767,13492,12170,12322,12553,12783,13373,14904,14189,13821,14473,14515,15846,12728,13575,11718,14177,14607,13297,13371,12178,13397,13792,12422,12863,13785,13347,12844,11082,12506,13544,14242
Ⅷ,1735,1866,1310,1394,1728,1637,1747,1404,1543,1733,1502,1470,1513,1665,1820,1843,1648,1556,1860,1476,1768,1707,1686,1916,1582,1881,1923,1957,1915,2118,1875,1886,1653,1930,2088,1934,1872,2319,1719,1884,1681,1940,1709,1672,1605,1457,1743,1400
Ⅸ,62322,64119,62093,60832,68193,56684,64234,62259,56964,59930,59432,61198,61402,61377,62019,52130,54494,59509,63739,55282,58038,63610,59701,58605,58554,61052,61423,67119,62761,60200,57938,61278,62015,62564,58926,64022,60357,64338,59882,71586,62301,70089,65652,66494,67084,65524,76322,75829
Ⅹ,15912,16161,14246,13013,14817,13893,14632,13916,13973,14923,15745,14676,14394,17787,16717,14644,13704,15786,15847,14926,14110,15960,15712,16185,15898,15200,17617,18466,16372,14920,16041,15759,17429,17608,16854,17723,16216,16556,15701,14860,17917,18384,17056,19012,17798,15701,15832,17154
