都道府県名,疾患合計,Ⅰ 感染症及び寄生虫症,Ⅱ 新生物＜腫瘍＞,Ⅲ 血液及び造血器の疾患並びに免疫機構の障害,Ⅳ 内分泌，栄養及び代謝疾患,Ⅴ 精神及び行動の障害,Ⅵ 神経系の疾患,Ⅶ 眼及び付属器の疾患,Ⅷ 耳及び乳様突起の疾患,Ⅸ 循環器系の疾患,Ⅹ 呼吸器系の疾患,ⅩⅠ消化器系の疾患,Ⅻ 皮膚及び皮下組織の疾患,ⅩⅢ 筋骨格系及び結合組織の疾患,ⅩⅣ 腎尿路生殖器系の疾患,ⅩⅤ 妊娠，分娩及び産じょく,ⅩⅥ 周産期に発生した病態,ⅩⅦ 先天奇形，変形及び染色体異常,ⅩⅧ 症状，徴候及び異常臨床所見・異常検査所見で他に分類されないもの,ⅩⅨ 損傷，中毒及びその他の外因の影響,ⅩⅩⅡ 特殊目的用コード
全国平均,396879,6840,63169,3820,31499,42784,22701,13151,1735,62322,15912,44185,6939,29722,24203,801,786,1925,4244,16109,4030
北海道,406426,6872,74901,4041,29370,38423,25072,11648,1866,64119,16161,46446,7914,32705,19620,882,898,2100,4444,15830,3116
青森県,359447,5406,71122,3825,30481,31287,18815,10274,1310,62093,14246,37199,5707,27374,17729,896,804,1801,3567,13084,2427
岩手県,378129,5814,57996,5105,32143,50008,25019,11565,1394,60832,13013,41555,6193,24707,21012,852,774,2209,3192,12243,2504
宮城県,391261,6056,62977,4261,33041,33896,20666,13939,1728,68193,14817,43434,6604,28447,27909,620,741,2045,4275,14189,3424
秋田県,390286,5788,66961,4892,30911,45500,24939,12142,1637,56684,13893,46445,6439,28722,20755,823,988,2003,4176,13479,3107
山形県,390929,6026,62064,4371,32114,48794,21501,13745,1747,64234,14632,44336,6748,26097,19813,753,898,2204,3674,13546,3630
福島県,365339,4341,62817,4142,31932,41368,17402,12180,1404,62259,13916,39495,5271,25831,18702,716,750,1450,4008,13383,3972
茨城県,339342,6485,57181,3811,28379,29465,13732,13921,1543,56964,13973,40747,6108,27073,15755,690,613,1673,5159,12879,3191
栃木県,362451,6566,56984,4090,30806,35015,17265,12895,1733,59930,14923,41402,6095,26886,22523,820,1103,1921,4792,12981,3724
群馬県,367012,6272,56750,3529,29695,42162,16662,12108,1502,59432,15745,40007,6168,27051,23845,706,923,1705,4336,14324,4090
埼玉県,353838,6146,57041,3730,28360,28001,15887,13655,1470,61198,14676,41882,6640,26615,23937,621,752,1457,4665,13431,3675
千葉県,359831,6154,58577,3438,28298,30250,15064,12576,1513,61402,14394,43234,6301,27643,26099,627,757,1479,4534,14109,3383
東京都,384496,8200,63418,3459,27710,27619,17815,14194,1665,61377,17787,47230,8195,30661,27403,596,843,1735,5229,14305,5056
神奈川県,377330,6655,59707,3474,29355,29546,16816,13683,1820,62019,16717,46919,7662,29770,27152,591,764,1624,5130,14292,3633
新潟県,366926,5592,63296,3810,30896,41270,24840,11912,1843,52130,14644,41093,6552,25423,21357,585,586,1597,3454,13558,2488
富山県,381161,7058,68223,4857,29315,50943,23932,13767,1648,54494,13704,39442,7911,27119,16227,792,513,1446,3201,13712,2857
石川県,413088,9367,67143,4518,38517,48462,31283,13492,1556,59509,15786,39381,7163,30230,20803,742,345,1991,3851,15215,3736
福井県,397023,6351,67115,3712,33472,42396,21270,12170,1860,63739,15847,39492,8404,30901,23589,772,323,1823,4080,15895,3811
山梨県,367058,7797,55813,2274,29945,37356,17819,12322,1476,55282,14926,41920,6689,30731,24912,693,1513,1464,4185,15352,4590
長野県,366961,6005,55155,3579,32038,39334,20698,12553,1768,58038,14110,42171,5627,30574,20340,619,694,1863,4552,13800,3444
岐阜県,383086,6070,61257,3380,33026,38531,16564,12783,1707,63610,15960,45966,7142,27029,25730,778,705,1535,3293,12976,5043
静岡県,366944,6114,57771,3137,30807,32022,17812,13373,1686,59701,15712,40589,6426,27943,29238,629,764,1676,3626,14416,3502
愛知県,359861,6086,61477,3555,31241,30195,14730,14904,1916,58605,16185,47452,7786,26499,16743,735,789,1433,3082,12469,3983
三重県,389138,6308,59162,4017,31933,45801,21262,14189,1582,58554,15898,43466,7091,28669,23677,884,667,1528,5314,14766,4367
滋賀県,377157,7026,63611,4461,31171,27691,24115,13821,1881,61052,15200,42915,6849,27764,24831,833,634,1684,3769,14211,3640
京都府,397856,7061,66337,4328,29912,28960,22151,14473,1923,61423,17617,48750,7787,32879,24988,772,860,1597,4532,17317,4188
大阪府,415409,8356,68620,4109,31814,29726,18077,14515,1957,67119,18466,54134,7779,32182,27811,788,711,1789,4643,16964,5848
兵庫県,403544,8035,64095,3973,32897,33453,21485,15846,1915,62761,16372,50456,8353,31391,23351,694,809,1794,4653,16773,4441
奈良県,383168,7640,63177,2907,29211,33899,19952,12728,2118,60200,14920,46150,6941,29564,24565,606,836,1674,3789,17158,5133
和歌山県,384199,7823,61951,3368,30352,32419,20087,13575,1875,57938,16041,46524,6798,29981,24793,761,701,1906,4655,18240,4410
