疾患名,全国平均,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
Ⅰ,13433,11688,9088,9611,11211,10915,11262,7173,11813,12543,12025,11310,11110,13145,12557,10057,13302,19244,12642,13067,11387,12710,12594,12899,14117,15154,16028,16607,18017,14190,16483,15292,14074,14347,13286,12878,16129,16163,12953,13301,15562,17504,16006,12547,14512,11747,13787,17328
Ⅱ,104564,122928,101568,87648,102005,101245,93851,99477,92482,89987,93762,94610,98263,107503,102350,94608,113390,115026,110136,96536,98701,102321,94047,103772,100099,106538,116326,118327,110803,108623,103666,126359,115050,106889,121138,111826,100475,109739,103057,100890,116951,108992,109904,101447,111050,88953,114486,86710
Ⅲ,6393,6594,4339,4855,5652,6314,7933,4266,6656,5984,7207,6334,6137,6348,6650,5724,7105,8841,4978,6379,7357,6332,5591,5861,7577,6325,6846,7642,6597,7622,8197,5669,7606,6714,5407,6985,5766,6923,6036,6107,6130,6704,6710,5555,7232,6004,4975,5692
Ⅳ,65076,62860,55120,58596,59473,56956,61613,56985,56787,60858,57452,56307,56028,59035,59511,56229,65611,86299,66289,59803,63905,64555,58430,66725,63103,69105,71086,72173,72948,61714,64233,65373,69560,74922,75622,69507,77704,75841,70445,68305,70993,78431,65243,68607,70888,55946,65760,55622
Ⅴ,35899,45478,28956,28996,29067,32365,37878,26266,23289,26052,33592,27889,25144,28217,26109,30253,41358,37331,34139,33057,26726,28992,20688,26328,33396,24588,29684,33538,31596,29106,26339,36232,36010,34061,39757,47979,40897,42502,32768,51227,50646,51273,58229,56638,44445,47613,59781,50796
Ⅵ,54339,77199,45687,41749,45649,56772,52509,37973,36385,35243,38198,45067,39057,52091,44593,48782,50233,64077,44342,39559,36132,33494,37806,41038,42211,50263,65829,51143,52249,49172,38851,59131,58052,60450,54934,72131,60678,61415,48854,84614,77194,79633,74486,71908,77879,66417,85291,67498
Ⅶ,28981,25848,20770,24193,28828,25224,29152,26801,31152,28036,26896,29344,28404,32127,31135,25086,28122,27916,25402,29067,26995,26975,30654,32126,31670,29156,32859,33884,35172,30229,31282,24892,30740,29790,29942,30818,25866,29319,29876,29525,29363,32333,34124,29262,23752,28410,30448,29164
Ⅷ,2864,3108,2084,2101,2558,2828,2592,2100,2448,2926,2388,2299,2448,2891,2904,2922,2630,2449,3008,2427,2915,2721,2751,3196,2712,2741,3306,3644,3311,3640,2957,2348,3256,2978,3464,3138,3187,3777,2768,2458,3257,2984,3936,2896,3151,2513,3187,2325
Ⅸ,230830,274625,215137,206026,220848,192284,205699,217310,209601,206506,215825,224487,219702,226634,218131,175598,224477,228612,230607,210002,211460,227849,203814,229186,201391,232511,237629,255765,238415,219673,215638,226036,214734,233627,239889,233697,254922,220923,237183,293534,266762,272848,263173,257575,253812,235903,290080,258883
Ⅹ,46573,47278,35488,34580,39502,37066,39191,39890,42507,43323,47552,44706,42234,47978,46822,39741,46713,47834,48952,39936,45018,48881,42126,49214,45361,47611,51544,56962,50186,51264,46345,43656,44646,51360,48836,48699,46397,45167,45634,51040,58469,54105,52051,51627,52712,37432,47081,64192
ⅩⅠ,73611,74404,52961,62361,68847,70693,67697,59911,70391,71644,67283,72731,74385,84350,83445,66143,61289,67780,64737,67620,72535,75293,66592,79899,69712,72864,86300,99036,88976,79763,78734,66336,71443,83998,85820,76109,79454,85028,70209,68492,83487,75625,86601,79201,74211,64792,66283,64275
