都道府県名,疾患合計,Ⅰ 感染症及び寄生虫症,Ⅱ 新生物＜腫瘍＞,Ⅲ 血液及び造血器の疾患並びに免疫機構の障害,Ⅳ 内分泌，栄養及び代謝疾患,Ⅴ 精神及び行動の障害,Ⅵ 神経系の疾患,Ⅶ 眼及び付属器の疾患,Ⅷ 耳及び乳様突起の疾患,Ⅸ 循環器系の疾患,Ⅹ 呼吸器系の疾患,ⅩⅠ消化器系の疾患,Ⅻ 皮膚及び皮下組織の疾患,ⅩⅢ 筋骨格系及び結合組織の疾患,ⅩⅣ 腎尿路生殖器系の疾患,ⅩⅤ 妊娠，分娩及び産じょく,ⅩⅥ 周産期に発生した病態,ⅩⅦ 先天奇形，変形及び染色体異常,ⅩⅧ 症状，徴候及び異常臨床所見・異常検査所見で他に分類されないもの,ⅩⅨ 損傷，中毒及びその他の外因の影響,ⅩⅩⅡ 特殊目的用コード
全国平均,911821,13433,104564,6393,65076,35899,54339,28981,2864,230830,46573,73611,10134,77536,60695,3,1,519,10859,77243,12266
北海道,1010087,11688,122928,6594,62860,45478,77199,25848,3108,274625,47278,74404,9959,82575,67078,1,3,615,12068,73337,12441
青森県,753929,9088,101568,4339,55120,28956,45687,20770,2084,215137,35488,52961,6764,62286,47247,1,0,323,8419,49252,8439
岩手県,733468,9611,87648,4855,58596,28996,41749,24193,2101,206026,34580,62361,7894,57682,46053,0,0,365,8436,47390,4934
宮城県,825708,11211,102005,5652,59473,29067,45649,28828,2558,220848,39502,68847,8266,67797,60570,1,0,433,10051,55896,9054
秋田県,773630,10915,101245,6314,56956,32365,56772,25224,2828,192284,37066,70693,7671,66479,41148,3,0,415,9968,47338,7946
山形県,807665,11262,93851,7933,61613,37878,52509,29152,2592,205699,39191,67697,9213,64953,52403,2,0,304,9299,55363,6751
福島県,776766,7173,99477,4266,56985,26266,37973,26801,2100,217310,39890,59911,6750,60787,49878,0,0,417,9228,57065,14488
茨城県,802617,11813,92482,6656,56787,23289,36385,31152,2448,209601,42507,70391,8919,67462,60859,3,4,483,12321,58616,10436
栃木県,807386,12543,89987,5984,60858,26052,35243,28036,2926,206506,43323,71644,8915,67563,63028,3,0,483,12313,59969,12010
群馬県,839394,12025,93762,7207,57452,33592,38198,26896,2388,215825,47552,67283,8401,65258,62657,5,0,361,11643,71273,17615
埼玉県,846370,11310,94610,6334,56307,27889,45067,29344,2299,224487,44706,72731,9042,68653,58318,7,0,467,11374,69421,14004
千葉県,832305,11110,98263,6137,56028,25144,39057,28404,2448,219702,42234,74385,8861,66853,61924,1,0,555,11055,67428,12716
東京都,936277,13145,107503,6348,59035,28217,52091,32127,2891,226634,47978,84350,11181,87430,65988,2,1,662,13598,75324,21771
神奈川県,878465,12557,102350,6650,59511,26109,44593,31135,2904,218131,46822,83445,10181,77592,61431,3,0,548,11998,68773,13731
新潟県,734394,10057,94608,5724,56229,30253,48782,25086,2922,175598,39741,66143,7936,58836,44536,1,0,447,8012,53926,5560
富山県,874399,13302,113390,7105,65611,41358,50233,28122,2630,224477,46713,61289,11216,66771,55305,0,0,424,8510,69045,8899
石川県,937833,19244,115026,8841,86299,37331,64077,27916,2449,228612,47834,67780,9268,79439,53452,2,0,585,10620,68799,10260
福井県,876890,12642,110136,4978,66289,34139,44342,25402,3008,230607,48952,64737,10294,76064,53303,1,0,603,8858,72585,9950
山梨県,846376,13067,96536,6379,59803,33057,39559,29067,2427,210002,39936,67620,8333,83520,55561,4,0,297,9987,76910,14314
長野県,820575,11387,98701,7357,63905,26726,36132,26995,2915,211460,45018,72535,8290,76201,51011,2,0,623,10210,62848,8258
岐阜県,849963,12710,102321,6332,64555,28992,33494,26975,2721,227849,48881,75293,9118,63790,58479,0,0,340,8297,65576,14240
