疾患名,全国平均,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
Ⅰ,"6,840","6,872","5,406","5,814","6,056","5,788","6,026","4,341","6,485","6,566","6,272","6,146","6,154","8,200","6,655","5,592","7,058","9,367","6,351","7,797","6,005","6,070","6,114","6,086","6,308","7,026","7,061","8,356","8,035","7,640","7,823","6,796","6,775","7,174","6,765","7,107","7,704","7,817","6,984","5,694","7,474","9,152","8,304","6,783","7,136","6,651","6,889","6,827"
Ⅱ,"63,169","74,901","71,122","57,996","62,977","66,961","62,064","62,817","57,181","56,984","56,750","57,041","58,577","63,418","59,707","63,296","68,223","67,143","67,115","55,813","55,155","61,257","57,771","61,477","59,162","63,611","66,337","68,620","64,095","63,177","61,951","73,071","68,871","64,316","69,222","67,349","61,123","63,153","65,371","60,833","68,120","66,469","65,732","59,374","64,395","59,765","65,644","53,455"
Ⅲ,"3,820","4,041","3,825","5,105","4,261","4,892","4,371","4,142","3,811","4,090","3,529","3,730","3,438","3,459","3,474","3,810","4,857","4,518","3,712","2,274","3,579","3,380","3,137","3,555","4,017","4,461","4,328","4,109","3,973","2,907","3,368","2,093","4,088","3,120","4,076","4,586","4,145","4,277","3,451","2,877","3,493","4,450","4,426","2,705","4,728","3,758","3,092","4,016"
Ⅳ,"31,499","29,370","30,481","32,143","33,041","30,911","32,114","31,932","28,379","30,806","29,695","28,360","28,298","27,710","29,355","30,896","29,315","38,517","33,472","29,945","32,038","33,026","30,807","31,241","31,933","31,171","29,912","31,814","32,897","29,211","30,352","29,753","33,838","35,520","31,342","32,516","34,655","35,906","31,932","29,290","31,422","37,655","29,245","34,704","34,403","30,068","32,004","27,080"
Ⅴ,"42,784","38,423","31,287","50,008","33,896","45,500","48,794","41,368","29,465","35,015","42,162","28,001","30,250","27,619","29,546","41,270","50,943","48,462","42,396","37,356","39,334","38,531","32,022","30,195","45,801","27,691","28,960","29,726","33,453","33,899","32,419","43,515","59,805","40,476","47,344","62,166","64,073","54,074","44,031","45,801","45,123","68,742","57,253","54,470","58,968","50,991","62,987","47,241"
Ⅵ,"22,701","25,072","18,815","25,019","20,666","24,939","21,501","17,402","13,732","17,265","16,662","15,887","15,064","17,815","16,816","24,840","23,932","31,283","21,270","17,819","20,698","16,564","17,812","14,730","21,262","24,115","22,151","18,077","21,485","19,952","20,087","25,385","32,297","27,049","22,393","30,008","27,708","26,678","19,798","28,850","22,299","31,146","27,889","29,661","30,228","26,292","32,583","23,973"
Ⅶ,"13,151","11,648","10,274","11,565","13,939","12,142","13,745","12,180","13,921","12,895","12,108","13,655","12,576","14,194","13,683","11,912","13,767","13,492","12,170","12,322","12,553","12,783","13,373","14,904","14,189","13,821","14,473","14,515","15,846","12,728","13,575","11,718","14,177","14,607","13,297","13,371","12,178","13,397","13,792","12,422","12,863","13,785","13,347","12,844","11,082","12,506","13,544","14,242"
Ⅷ,"1,735","1,866","1,310","1,394","1,728","1,637","1,747","1,404","1,543","1,733","1,502","1,470","1,513","1,665","1,820","1,843","1,648","1,556","1,860","1,476","1,768","1,707","1,686","1,916","1,582","1,881","1,923","1,957","1,915","2,118","1,875","1,886","1,653","1,930","2,088","1,934","1,872","2,319","1,719","1,884","1,681","1,940","1,709","1,672","1,605","1,457","1,743","1,400"
Ⅸ,"62,322","64,119","62,093","60,832","68,193","56,684","64,234","62,259","56,964","59,930","59,432","61,198","61,402","61,377","62,019","52,130","54,494","59,509","63,739","55,282","58,038","63,610","59,701","58,605","58,554","61,052","61,423","67,119","62,761","60,200","57,938","61,278","62,015","62,564","58,926","64,022","60,357","64,338","59,882","71,586","62,301","70,089","65,652","66,494","67,084","65,524","76,322","75,829"
Ⅹ,"15,912","16,161","14,246","13,013","14,817","13,893","14,632","13,916","13,973","14,923","15,745","14,676","14,394","17,787","16,717","14,644","13,704","15,786","15,847","14,926","14,110","15,960","15,712","16,185","15,898","15,200","17,617","18,466","16,372","14,920","16,041","15,759","17,429","17,608","16,854","17,723","16,216","16,556","15,701","14,860","17,917","18,384","17,056","19,012","17,798","15,701","15,832","17,154"
