疾患名,全国平均,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
Ⅰ,"13,433","11,688","9,088","9,611","11,211","10,915","11,262","7,173","11,813","12,543","12,025","11,310","11,110","13,145","12,557","10,057","13,302","19,244","12,642","13,067","11,387","12,710","12,594","12,899","14,117","15,154","16,028","16,607","18,017","14,190","16,483","15,292","14,074","14,347","13,286","12,878","16,129","16,163","12,953","13,301","15,562","17,504","16,006","12,547","14,512","11,747","13,787","17,328"
Ⅱ,"104,564","122,928","101,568","87,648","102,005","101,245","93,851","99,477","92,482","89,987","93,762","94,610","98,263","107,503","102,350","94,608","113,390","115,026","110,136","96,536","98,701","102,321","94,047","103,772","100,099","106,538","116,326","118,327","110,803","108,623","103,666","126,359","115,050","106,889","121,138","111,826","100,475","109,739","103,057","100,890","116,951","108,992","109,904","101,447","111,050","88,953","114,486","86,710"
Ⅲ,"6,393","6,594","4,339","4,855","5,652","6,314","7,933","4,266","6,656","5,984","7,207","6,334","6,137","6,348","6,650","5,724","7,105","8,841","4,978","6,379","7,357","6,332","5,591","5,861","7,577","6,325","6,846","7,642","6,597","7,622","8,197","5,669","7,606","6,714","5,407","6,985","5,766","6,923","6,036","6,107","6,130","6,704","6,710","5,555","7,232","6,004","4,975","5,692"
Ⅳ,"65,076","62,860","55,120","58,596","59,473","56,956","61,613","56,985","56,787","60,858","57,452","56,307","56,028","59,035","59,511","56,229","65,611","86,299","66,289","59,803","63,905","64,555","58,430","66,725","63,103","69,105","71,086","72,173","72,948","61,714","64,233","65,373","69,560","74,922","75,622","69,507","77,704","75,841","70,445","68,305","70,993","78,431","65,243","68,607","70,888","55,946","65,760","55,622"
Ⅴ,"35,899","45,478","28,956","28,996","29,067","32,365","37,878","26,266","23,289","26,052","33,592","27,889","25,144","28,217","26,109","30,253","41,358","37,331","34,139","33,057","26,726","28,992","20,688","26,328","33,396","24,588","29,684","33,538","31,596","29,106","26,339","36,232","36,010","34,061","39,757","47,979","40,897","42,502","32,768","51,227","50,646","51,273","58,229","56,638","44,445","47,613","59,781","50,796"
Ⅵ,"54,339","77,199","45,687","41,749","45,649","56,772","52,509","37,973","36,385","35,243","38,198","45,067","39,057","52,091","44,593","48,782","50,233","64,077","44,342","39,559","36,132","33,494","37,806","41,038","42,211","50,263","65,829","51,143","52,249","49,172","38,851","59,131","58,052","60,450","54,934","72,131","60,678","61,415","48,854","84,614","77,194","79,633","74,486","71,908","77,879","66,417","85,291","67,498"
Ⅶ,"28,981","25,848","20,770","24,193","28,828","25,224","29,152","26,801","31,152","28,036","26,896","29,344","28,404","32,127","31,135","25,086","28,122","27,916","25,402","29,067","26,995","26,975","30,654","32,126","31,670","29,156","32,859","33,884","35,172","30,229","31,282","24,892","30,740","29,790","29,942","30,818","25,866","29,319","29,876","29,525","29,363","32,333","34,124","29,262","23,752","28,410","30,448","29,164"
Ⅷ,"2,864","3,108","2,084","2,101","2,558","2,828","2,592","2,100","2,448","2,926","2,388","2,299","2,448","2,891","2,904","2,922","2,630","2,449","3,008","2,427","2,915","2,721","2,751","3,196","2,712","2,741","3,306","3,644","3,311","3,640","2,957","2,348","3,256","2,978","3,464","3,138","3,187","3,777","2,768","2,458","3,257","2,984","3,936","2,896","3,151","2,513","3,187","2,325"
Ⅸ,"230,830","274,625","215,137","206,026","220,848","192,284","205,699","217,310","209,601","206,506","215,825","224,487","219,702","226,634","218,131","175,598","224,477","228,612","230,607","210,002","211,460","227,849","203,814","229,186","201,391","232,511","237,629","255,765","238,415","219,673","215,638","226,036","214,734","233,627","239,889","233,697","254,922","220,923","237,183","293,534","266,762","272,848","263,173","257,575","253,812","235,903","290,080","258,883"
Ⅹ,"46,573","47,278","35,488","34,580","39,502","37,066","39,191","39,890","42,507","43,323","47,552","44,706","42,234","47,978","46,822","39,741","46,713","47,834","48,952","39,936","45,018","48,881","42,126","49,214","45,361","47,611","51,544","56,962","50,186","51,264","46,345","43,656","44,646","51,360","48,836","48,699","46,397","45,167","45,634","51,040","58,469","54,105","52,051","51,627","52,712","37,432","47,081","64,192"
