都道府県名,疾患合計,Ⅰ,Ⅱ,Ⅲ,Ⅳ,Ⅴ,Ⅵ,Ⅶ,Ⅷ,Ⅸ,Ⅹ,ⅩⅠ,ⅩⅡ,ⅩⅢ,ⅩⅣ,ⅩⅤ,ⅩⅥ,ⅩⅦ,ⅩⅧ,ⅩⅨ,ⅩⅩⅡ
全国平均,"911,821","13,433","104,564","6,393","65,076","35,899","54,339","28,981","2,864","230,830","46,573","73,611","10,134","77,536","60,695",3,1,519,"10,859","77,243","12,266"
北海道,"1,010,087","11,688","122,928","6,594","62,860","45,478","77,199","25,848","3,108","274,625","47,278","74,404","9,959","82,575","67,078",1,3,615,"12,068","73,337","12,441"
青森県,"753,929","9,088","101,568","4,339","55,120","28,956","45,687","20,770","2,084","215,137","35,488","52,961","6,764","62,286","47,247",1,0,323,"8,419","49,252","8,439"
岩手県,"733,468","9,611","87,648","4,855","58,596","28,996","41,749","24,193","2,101","206,026","34,580","62,361","7,894","57,682","46,053",0,0,365,"8,436","47,390","4,934"
宮城県,"825,708","11,211","102,005","5,652","59,473","29,067","45,649","28,828","2,558","220,848","39,502","68,847","8,266","67,797","60,570",1,0,433,"10,051","55,896","9,054"
秋田県,"773,630","10,915","101,245","6,314","56,956","32,365","56,772","25,224","2,828","192,284","37,066","70,693","7,671","66,479","41,148",3,0,415,"9,968","47,338","7,946"
山形県,"807,665","11,262","93,851","7,933","61,613","37,878","52,509","29,152","2,592","205,699","39,191","67,697","9,213","64,953","52,403",2,0,304,"9,299","55,363","6,751"
福島県,"776,766","7,173","99,477","4,266","56,985","26,266","37,973","26,801","2,100","217,310","39,890","59,911","6,750","60,787","49,878",0,0,417,"9,228","57,065","14,488"
茨城県,"802,617","11,813","92,482","6,656","56,787","23,289","36,385","31,152","2,448","209,601","42,507","70,391","8,919","67,462","60,859",3,4,483,"12,321","58,616","10,436"
栃木県,"807,386","12,543","89,987","5,984","60,858","26,052","35,243","28,036","2,926","206,506","43,323","71,644","8,915","67,563","63,028",3,0,483,"12,313","59,969","12,010"
群馬県,"839,394","12,025","93,762","7,207","57,452","33,592","38,198","26,896","2,388","215,825","47,552","67,283","8,401","65,258","62,657",5,0,361,"11,643","71,273","17,615"
埼玉県,"846,370","11,310","94,610","6,334","56,307","27,889","45,067","29,344","2,299","224,487","44,706","72,731","9,042","68,653","58,318",7,0,467,"11,374","69,421","14,004"
千葉県,"832,305","11,110","98,263","6,137","56,028","25,144","39,057","28,404","2,448","219,702","42,234","74,385","8,861","66,853","61,924",1,0,555,"11,055","67,428","12,716"
東京都,"936,277","13,145","107,503","6,348","59,035","28,217","52,091","32,127","2,891","226,634","47,978","84,350","11,181","87,430","65,988",2,1,662,"13,598","75,324","21,771"
神奈川県,"878,465","12,557","102,350","6,650","59,511","26,109","44,593","31,135","2,904","218,131","46,822","83,445","10,181","77,592","61,431",3,0,548,"11,998","68,773","13,731"
新潟県,"734,394","10,057","94,608","5,724","56,229","30,253","48,782","25,086","2,922","175,598","39,741","66,143","7,936","58,836","44,536",1,0,447,"8,012","53,926","5,560"
富山県,"874,399","13,302","113,390","7,105","65,611","41,358","50,233","28,122","2,630","224,477","46,713","61,289","11,216","66,771","55,305",0,0,424,"8,510","69,045","8,899"
石川県,"937,833","19,244","115,026","8,841","86,299","37,331","64,077","27,916","2,449","228,612","47,834","67,780","9,268","79,439","53,452",2,0,585,"10,620","68,799","10,260"
福井県,"876,890","12,642","110,136","4,978","66,289","34,139","44,342","25,402","3,008","230,607","48,952","64,737","10,294","76,064","53,303",1,0,603,"8,858","72,585","9,950"
山梨県,"846,376","13,067","96,536","6,379","59,803","33,057","39,559","29,067","2,427","210,002","39,936","67,620","8,333","83,520","55,561",4,0,297,"9,987","76,910","14,314"
